PLATFORM;DEVICE;READ MODE;WRITE MODE;INPUT FLAGS;OUTPUT FLAGS;SIZE;TIME;ITERATIONS
0;0 Tahiti;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY;CL_MEM_WRITE_ONLY;4096;0.33;100
0;0 Tahiti;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY;CL_MEM_WRITE_ONLY;16384;0.42;100
0;0 Tahiti;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY;CL_MEM_WRITE_ONLY;36864;0.67;100
0;0 Tahiti;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY;CL_MEM_WRITE_ONLY;65536;0.71;100
0;0 Tahiti;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY;CL_MEM_WRITE_ONLY;102400;0.87;100
0;0 Tahiti;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY;CL_MEM_WRITE_ONLY;147456;1.04;100
0;0 Tahiti;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY;CL_MEM_WRITE_ONLY;200704;1.27;100
0;0 Tahiti;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY;CL_MEM_WRITE_ONLY;262144;1.67;100
0;0 Tahiti;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY;CL_MEM_WRITE_ONLY;331776;2.3;100
0;0 Tahiti;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY;CL_MEM_WRITE_ONLY;409600;2.42;100
0;0 Tahiti;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY;CL_MEM_WRITE_ONLY;495616;2.89;100
0;0 Tahiti;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY;CL_MEM_WRITE_ONLY;589824;3.69;100
0;0 Tahiti;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY;CL_MEM_WRITE_ONLY;692224;4.55;100
0;0 Tahiti;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY;CL_MEM_WRITE_ONLY;802816;5.45;100
0;0 Tahiti;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY;CL_MEM_WRITE_ONLY;921600;5.54;100
0;0 Tahiti;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY;CL_MEM_WRITE_ONLY;1048576;6.47;100
