PLATFORM;DEVICE;READ MODE;WRITE MODE;INPUT FLAGS;OUTPUT FLAGS;SIZE;TIME;ITERATIONS
0;0 Tahiti;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY;CL_MEM_WRITE_ONLY;2048;0.3;100
0;0 Tahiti;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY;CL_MEM_WRITE_ONLY;4096;0.29;100
0;0 Tahiti;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY;CL_MEM_WRITE_ONLY;8192;0.3;100
0;0 Tahiti;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY;CL_MEM_WRITE_ONLY;16384;0.65;100
0;0 Tahiti;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY;CL_MEM_WRITE_ONLY;32768;0.41;100
0;0 Tahiti;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY;CL_MEM_WRITE_ONLY;65536;0.76;100
0;0 Tahiti;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY;CL_MEM_WRITE_ONLY;131072;0.83;100
0;0 Tahiti;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY;CL_MEM_WRITE_ONLY;262144;1.25;100
0;0 Tahiti;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY;CL_MEM_WRITE_ONLY;524288;2.23;100
0;0 Tahiti;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY;CL_MEM_WRITE_ONLY;1048576;3.99;100
0;0 Tahiti;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY;CL_MEM_WRITE_ONLY;2097152;7.41;100
0;0 Tahiti;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY;CL_MEM_WRITE_ONLY;4194304;13.72;100
0;0 Tahiti;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY;CL_MEM_WRITE_ONLY;8388608;33.59;100
0;0 Tahiti;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY;CL_MEM_WRITE_ONLY;16777216;67.92;100
0;0 Tahiti;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY | CL_MEM_USE_HOST_PTR;CL_MEM_WRITE_ONLY | CL_MEM_USE_HOST_PTR;2048;0.28;100
0;0 Tahiti;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY | CL_MEM_USE_HOST_PTR;CL_MEM_WRITE_ONLY | CL_MEM_USE_HOST_PTR;4096;0.35;100
0;0 Tahiti;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY | CL_MEM_USE_HOST_PTR;CL_MEM_WRITE_ONLY | CL_MEM_USE_HOST_PTR;8192;0.37;100
0;0 Tahiti;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY | CL_MEM_USE_HOST_PTR;CL_MEM_WRITE_ONLY | CL_MEM_USE_HOST_PTR;16384;0.45;100
0;0 Tahiti;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY | CL_MEM_USE_HOST_PTR;CL_MEM_WRITE_ONLY | CL_MEM_USE_HOST_PTR;32768;0.46;100
0;0 Tahiti;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY | CL_MEM_USE_HOST_PTR;CL_MEM_WRITE_ONLY | CL_MEM_USE_HOST_PTR;65536;0.59;100
0;0 Tahiti;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY | CL_MEM_USE_HOST_PTR;CL_MEM_WRITE_ONLY | CL_MEM_USE_HOST_PTR;131072;0.86;100
0;0 Tahiti;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY | CL_MEM_USE_HOST_PTR;CL_MEM_WRITE_ONLY | CL_MEM_USE_HOST_PTR;262144;1.34;100
0;0 Tahiti;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY | CL_MEM_USE_HOST_PTR;CL_MEM_WRITE_ONLY | CL_MEM_USE_HOST_PTR;524288;2.29;100
0;0 Tahiti;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY | CL_MEM_USE_HOST_PTR;CL_MEM_WRITE_ONLY | CL_MEM_USE_HOST_PTR;1048576;3.98;100
0;0 Tahiti;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY | CL_MEM_USE_HOST_PTR;CL_MEM_WRITE_ONLY | CL_MEM_USE_HOST_PTR;2097152;7.57;100
0;0 Tahiti;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY | CL_MEM_USE_HOST_PTR;CL_MEM_WRITE_ONLY | CL_MEM_USE_HOST_PTR;4194304;15.49;100
0;0 Tahiti;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY | CL_MEM_USE_HOST_PTR;CL_MEM_WRITE_ONLY | CL_MEM_USE_HOST_PTR;8388608;31.2;100
0;0 Tahiti;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY | CL_MEM_USE_HOST_PTR;CL_MEM_WRITE_ONLY | CL_MEM_USE_HOST_PTR;16777216;65.63;100
0;1 Devastator;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY;CL_MEM_WRITE_ONLY;2048;0.29;100
0;1 Devastator;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY;CL_MEM_WRITE_ONLY;4096;0.28;100
0;1 Devastator;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY;CL_MEM_WRITE_ONLY;8192;0.28;100
0;1 Devastator;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY;CL_MEM_WRITE_ONLY;16384;0.34;100
0;1 Devastator;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY;CL_MEM_WRITE_ONLY;32768;0.47;100
0;1 Devastator;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY;CL_MEM_WRITE_ONLY;65536;0.86;100
0;1 Devastator;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY;CL_MEM_WRITE_ONLY;131072;1.23;100
0;1 Devastator;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY;CL_MEM_WRITE_ONLY;262144;2.09;100
0;1 Devastator;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY;CL_MEM_WRITE_ONLY;524288;3.72;100
0;1 Devastator;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY;CL_MEM_WRITE_ONLY;1048576;6.47;100
0;1 Devastator;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY;CL_MEM_WRITE_ONLY;2097152;12.56;100
0;1 Devastator;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY;CL_MEM_WRITE_ONLY;4194304;25.24;100
0;1 Devastator;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY;CL_MEM_WRITE_ONLY;8388608;57.33;100
0;1 Devastator;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY;CL_MEM_WRITE_ONLY;16777216;128.92;100
0;1 Devastator;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY | CL_MEM_USE_HOST_PTR;CL_MEM_WRITE_ONLY | CL_MEM_USE_HOST_PTR;2048;0.41;100
0;1 Devastator;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY | CL_MEM_USE_HOST_PTR;CL_MEM_WRITE_ONLY | CL_MEM_USE_HOST_PTR;4096;0.36;100
0;1 Devastator;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY | CL_MEM_USE_HOST_PTR;CL_MEM_WRITE_ONLY | CL_MEM_USE_HOST_PTR;8192;0.41;100
0;1 Devastator;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY | CL_MEM_USE_HOST_PTR;CL_MEM_WRITE_ONLY | CL_MEM_USE_HOST_PTR;16384;0.41;100
0;1 Devastator;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY | CL_MEM_USE_HOST_PTR;CL_MEM_WRITE_ONLY | CL_MEM_USE_HOST_PTR;32768;0.48;100
0;1 Devastator;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY | CL_MEM_USE_HOST_PTR;CL_MEM_WRITE_ONLY | CL_MEM_USE_HOST_PTR;65536;0.62;100
0;1 Devastator;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY | CL_MEM_USE_HOST_PTR;CL_MEM_WRITE_ONLY | CL_MEM_USE_HOST_PTR;131072;0.81;100
0;1 Devastator;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY | CL_MEM_USE_HOST_PTR;CL_MEM_WRITE_ONLY | CL_MEM_USE_HOST_PTR;262144;1.37;100
0;1 Devastator;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY | CL_MEM_USE_HOST_PTR;CL_MEM_WRITE_ONLY | CL_MEM_USE_HOST_PTR;524288;2.71;100
0;1 Devastator;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY | CL_MEM_USE_HOST_PTR;CL_MEM_WRITE_ONLY | CL_MEM_USE_HOST_PTR;1048576;4.11;100
0;1 Devastator;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY | CL_MEM_USE_HOST_PTR;CL_MEM_WRITE_ONLY | CL_MEM_USE_HOST_PTR;2097152;7.92;100
0;1 Devastator;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY | CL_MEM_USE_HOST_PTR;CL_MEM_WRITE_ONLY | CL_MEM_USE_HOST_PTR;4194304;15.23;100
0;1 Devastator;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY | CL_MEM_USE_HOST_PTR;CL_MEM_WRITE_ONLY | CL_MEM_USE_HOST_PTR;8388608;31.61;100
0;1 Devastator;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY | CL_MEM_USE_HOST_PTR;CL_MEM_WRITE_ONLY | CL_MEM_USE_HOST_PTR;16777216;63.36;100
0;2 AMD A10-5800K APU with Radeon(tm) HD Graphics  ;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY;CL_MEM_WRITE_ONLY;2048;0.04;100
0;2 AMD A10-5800K APU with Radeon(tm) HD Graphics  ;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY;CL_MEM_WRITE_ONLY;4096;0.09;100
0;2 AMD A10-5800K APU with Radeon(tm) HD Graphics  ;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY;CL_MEM_WRITE_ONLY;8192;0.43;100
0;2 AMD A10-5800K APU with Radeon(tm) HD Graphics  ;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY;CL_MEM_WRITE_ONLY;16384;0.27;100
0;2 AMD A10-5800K APU with Radeon(tm) HD Graphics  ;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY;CL_MEM_WRITE_ONLY;32768;0.29;100
0;2 AMD A10-5800K APU with Radeon(tm) HD Graphics  ;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY;CL_MEM_WRITE_ONLY;65536;0.76;100
0;2 AMD A10-5800K APU with Radeon(tm) HD Graphics  ;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY;CL_MEM_WRITE_ONLY;131072;2.15;100
0;2 AMD A10-5800K APU with Radeon(tm) HD Graphics  ;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY;CL_MEM_WRITE_ONLY;262144;4.19;100
0;2 AMD A10-5800K APU with Radeon(tm) HD Graphics  ;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY;CL_MEM_WRITE_ONLY;524288;8.01;100
0;2 AMD A10-5800K APU with Radeon(tm) HD Graphics  ;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY;CL_MEM_WRITE_ONLY;1048576;15.98;100
0;2 AMD A10-5800K APU with Radeon(tm) HD Graphics  ;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY;CL_MEM_WRITE_ONLY;2097152;30.94;100
0;2 AMD A10-5800K APU with Radeon(tm) HD Graphics  ;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY;CL_MEM_WRITE_ONLY;4194304;63.18;100
0;2 AMD A10-5800K APU with Radeon(tm) HD Graphics  ;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY;CL_MEM_WRITE_ONLY;8388608;122.4;100
0;2 AMD A10-5800K APU with Radeon(tm) HD Graphics  ;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY;CL_MEM_WRITE_ONLY;16777216;248.02;100
0;2 AMD A10-5800K APU with Radeon(tm) HD Graphics  ;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY | CL_MEM_USE_HOST_PTR;CL_MEM_WRITE_ONLY | CL_MEM_USE_HOST_PTR;2048;0.04;100
0;2 AMD A10-5800K APU with Radeon(tm) HD Graphics  ;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY | CL_MEM_USE_HOST_PTR;CL_MEM_WRITE_ONLY | CL_MEM_USE_HOST_PTR;4096;0.08;100
0;2 AMD A10-5800K APU with Radeon(tm) HD Graphics  ;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY | CL_MEM_USE_HOST_PTR;CL_MEM_WRITE_ONLY | CL_MEM_USE_HOST_PTR;8192;0.12;100
0;2 AMD A10-5800K APU with Radeon(tm) HD Graphics  ;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY | CL_MEM_USE_HOST_PTR;CL_MEM_WRITE_ONLY | CL_MEM_USE_HOST_PTR;16384;0.2;100
0;2 AMD A10-5800K APU with Radeon(tm) HD Graphics  ;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY | CL_MEM_USE_HOST_PTR;CL_MEM_WRITE_ONLY | CL_MEM_USE_HOST_PTR;32768;0.2;100
0;2 AMD A10-5800K APU with Radeon(tm) HD Graphics  ;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY | CL_MEM_USE_HOST_PTR;CL_MEM_WRITE_ONLY | CL_MEM_USE_HOST_PTR;65536;0.52;100
0;2 AMD A10-5800K APU with Radeon(tm) HD Graphics  ;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY | CL_MEM_USE_HOST_PTR;CL_MEM_WRITE_ONLY | CL_MEM_USE_HOST_PTR;131072;0.92;100
0;2 AMD A10-5800K APU with Radeon(tm) HD Graphics  ;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY | CL_MEM_USE_HOST_PTR;CL_MEM_WRITE_ONLY | CL_MEM_USE_HOST_PTR;262144;1.18;100
0;2 AMD A10-5800K APU with Radeon(tm) HD Graphics  ;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY | CL_MEM_USE_HOST_PTR;CL_MEM_WRITE_ONLY | CL_MEM_USE_HOST_PTR;524288;2.29;100
0;2 AMD A10-5800K APU with Radeon(tm) HD Graphics  ;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY | CL_MEM_USE_HOST_PTR;CL_MEM_WRITE_ONLY | CL_MEM_USE_HOST_PTR;1048576;4.94;100
0;2 AMD A10-5800K APU with Radeon(tm) HD Graphics  ;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY | CL_MEM_USE_HOST_PTR;CL_MEM_WRITE_ONLY | CL_MEM_USE_HOST_PTR;2097152;10.17;100
0;2 AMD A10-5800K APU with Radeon(tm) HD Graphics  ;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY | CL_MEM_USE_HOST_PTR;CL_MEM_WRITE_ONLY | CL_MEM_USE_HOST_PTR;4194304;19.28;100
